timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/06/30 05:59:31.944, 0, 0, 0, 183359, 192.27
2026/06/30 05:59:31.946, 1, 0, 0, 183359, 192.19
2026/06/30 05:59:31.949, 2, 0, 0, 183359, 188.00
2026/06/30 05:59:31.951, 3, 0, 0, 183359, 197.16
2026/06/30 05:59:31.953, 4, 0, 0, 183359, 193.34
2026/06/30 05:59:31.955, 5, 0, 0, 183359, 195.66
2026/06/30 05:59:31.958, 6, 0, 0, 183359, 197.38
2026/06/30 05:59:31.960, 7, 0, 0, 183359, 192.05
2026/06/30 05:59:36.962, 0, 0, 0, 183359, 192.15
2026/06/30 05:59:36.962, 1, 0, 0, 183359, 192.59
2026/06/30 05:59:36.962, 2, 0, 0, 183359, 187.95
2026/06/30 05:59:36.962, 3, 0, 0, 183359, 196.95
2026/06/30 05:59:36.962, 4, 0, 0, 183359, 193.31
2026/06/30 05:59:36.962, 5, 0, 0, 183359, 195.38
2026/06/30 05:59:36.962, 6, 0, 0, 183359, 197.20
2026/06/30 05:59:36.962, 7, 0, 0, 183359, 192.07
2026/06/30 05:59:41.962, 0, 0, 0, 183359, 192.14
2026/06/30 05:59:41.964, 1, 0, 0, 183359, 192.38
2026/06/30 05:59:41.965, 2, 0, 0, 183359, 187.90
2026/06/30 05:59:41.967, 3, 0, 0, 183359, 196.71
2026/06/30 05:59:41.968, 4, 0, 0, 183359, 193.29
2026/06/30 05:59:41.969, 5, 0, 0, 183359, 195.06
2026/06/30 05:59:41.971, 6, 0, 0, 183359, 196.96
2026/06/30 05:59:41.973, 7, 0, 0, 183359, 191.95
2026/06/30 05:59:46.974, 0, 0, 4, 183359, 192.20
2026/06/30 05:59:46.974, 1, 0, 4, 183359, 192.34
2026/06/30 05:59:46.974, 2, 0, 4, 183359, 187.91
2026/06/30 05:59:46.974, 3, 0, 4, 183359, 196.69
2026/06/30 05:59:46.974, 4, 0, 4, 183359, 193.21
2026/06/30 05:59:46.975, 5, 0, 4, 183359, 195.01
2026/06/30 05:59:46.975, 6, 0, 4, 183359, 196.89
2026/06/30 05:59:46.975, 7, 0, 4, 183359, 192.07
2026/06/30 05:59:51.975, 0, 0, 4, 183359, 192.11
2026/06/30 05:59:51.975, 1, 0, 4, 183359, 192.11
