timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/06/30 10:51:40.845, 0, 0, 0, 183359, 190.02
2026/06/30 10:51:40.847, 1, 0, 0, 183359, 190.62
2026/06/30 10:51:40.849, 2, 0, 0, 183359, 192.72
2026/06/30 10:51:40.850, 3, 0, 0, 183359, 197.37
2026/06/30 10:51:40.851, 4, 0, 0, 183359, 188.89
2026/06/30 10:51:40.853, 5, 0, 0, 183359, 190.89
2026/06/30 10:51:40.854, 6, 0, 0, 183359, 191.86
2026/06/30 10:51:40.856, 7, 0, 0, 183359, 188.29
2026/06/30 10:51:45.858, 0, 0, 0, 183359, 189.96
2026/06/30 10:51:45.858, 1, 0, 0, 183359, 190.36
2026/06/30 10:51:45.858, 2, 0, 0, 183359, 192.67
2026/06/30 10:51:45.858, 3, 0, 0, 183359, 197.32
2026/06/30 10:51:45.858, 4, 0, 0, 183359, 189.03
2026/06/30 10:51:45.858, 5, 0, 0, 183359, 191.00
2026/06/30 10:51:45.858, 6, 0, 0, 183359, 191.79
2026/06/30 10:51:45.858, 7, 0, 0, 183359, 188.32
2026/06/30 10:51:50.858, 0, 0, 0, 183359, 189.85
2026/06/30 10:51:50.858, 1, 0, 0, 183359, 190.65
2026/06/30 10:51:50.858, 2, 0, 0, 183359, 192.62
2026/06/30 10:51:50.858, 3, 0, 0, 183359, 197.15
2026/06/30 10:51:50.858, 4, 0, 0, 183359, 188.78
2026/06/30 10:51:50.858, 5, 0, 0, 183359, 191.00
2026/06/30 10:51:50.858, 6, 0, 0, 183359, 191.68
2026/06/30 10:51:50.858, 7, 0, 0, 183359, 188.40
2026/06/30 10:51:55.859, 0, 0, 4, 183359, 189.98
2026/06/30 10:51:55.859, 1, 0, 4, 183359, 189.40
2026/06/30 10:51:55.859, 2, 0, 4, 183359, 192.75
2026/06/30 10:51:55.859, 3, 0, 4, 183359, 197.04
2026/06/30 10:51:55.859, 4, 0, 4, 183359, 188.98
2026/06/30 10:51:55.859, 5, 0, 4, 183359, 191.00
2026/06/30 10:51:55.859, 6, 0, 4, 183359, 191.77
2026/06/30 10:51:55.859, 7, 0, 4, 183359, 188.24
2026/06/30 10:52:00.859, 0, 0, 4, 183359, 190.00
2026/06/30 10:52:00.859, 1, 0, 4, 183359, 190.62
2026/06/30 10:52:00.859, 2, 0, 4, 183359, 192.64
2026/06/30 10:52:00.859, 3, 0, 4, 183359, 197.13
2026/06/30 10:52:00.859, 4, 0, 4, 183359, 188.93
2026/06/30 10:52:00.859, 5, 0, 4, 183359, 190.88
2026/06/30 10:52:00.859, 6, 0, 4, 183359, 191.75
2026/06/30 10:52:00.859, 7, 0, 4, 183359, 188.27
2026/06/30 10:52:05.860, 0, 0, 4, 183359, 189.91
2026/06/30 10:52:05.860, 1, 0, 4, 183359, 189.22
2026/06/30 10:52:05.860, 2, 0, 4, 183359, 192.71
2026/06/30 10:52:05.860, 3, 0, 4, 183359, 197.06
2026/06/30 10:52:05.860, 4, 0, 4, 183359, 188.99
2026/06/30 10:52:05.860, 5, 0, 4, 183359, 190.83
2026/06/30 10:52:05.860, 6, 0, 4, 183359, 191.64
2026/06/30 10:52:05.860, 7, 0, 4, 183359, 188.24
2026/06/30 10:52:10.860, 0, 0, 4, 183359, 189.97
2026/06/30 10:52:10.861, 1, 0, 4, 183359, 190.58
2026/06/30 10:52:10.861, 2, 0, 4, 183359, 192.68
2026/06/30 10:52:10.861, 3, 0, 4, 183359, 196.98
2026/06/30 10:52:10.861, 4, 0, 4, 183359, 188.93
2026/06/30 10:52:10.861, 5, 0, 4, 183359, 190.87
2026/06/30 10:52:10.861, 6, 0, 4, 183359, 191.62
2026/06/30 10:52:10.861, 7, 0, 4, 183359, 188.22
2026/06/30 10:52:15.861, 0, 0, 4, 183359, 190.00
2026/06/30 10:52:15.861, 1, 0, 4, 183359, 189.19
2026/06/30 10:52:15.861, 2, 0, 4, 183359, 192.62
2026/06/30 10:52:15.861, 3, 0, 4, 183359, 197.12
2026/06/30 10:52:15.861, 4, 0, 4, 183359, 188.99
2026/06/30 10:52:15.861, 5, 0, 4, 183359, 190.85
2026/06/30 10:52:15.861, 6, 0, 4, 183359, 191.74
2026/06/30 10:52:15.861, 7, 0, 4, 183359, 188.24
2026/06/30 10:52:20.861, 0, 0, 4, 183359, 190.02
2026/06/30 10:52:20.862, 1, 0, 4, 183359, 190.52
2026/06/30 10:52:20.862, 2, 0, 4, 183359, 192.59
2026/06/30 10:52:20.862, 3, 0, 4, 183359, 197.20
2026/06/30 10:52:20.862, 4, 0, 4, 183359, 188.89
2026/06/30 10:52:20.862, 5, 0, 4, 183359, 190.76
2026/06/30 10:52:20.862, 6, 0, 4, 183359, 191.65
2026/06/30 10:52:20.862, 7, 0, 4, 183359, 188.28
2026/06/30 10:52:25.862, 0, 0, 4, 183359, 189.99
2026/06/30 10:52:25.862, 1, 0, 4, 183359, 190.12
2026/06/30 10:52:25.862, 2, 0, 4, 183359, 192.63
2026/06/30 10:52:25.862, 3, 0, 4, 183359, 197.10
2026/06/30 10:52:25.862, 4, 0, 4, 183359, 189.03
2026/06/30 10:52:25.862, 5, 0, 4, 183359, 190.85
2026/06/30 10:52:25.862, 6, 0, 4, 183359, 191.59
2026/06/30 10:52:25.862, 7, 0, 4, 183359, 188.21
2026/06/30 10:52:30.863, 0, 0, 4, 183359, 190.02
2026/06/30 10:52:30.863, 1, 0, 4, 183359, 190.21
2026/06/30 10:52:30.863, 2, 0, 4, 183359, 192.65
2026/06/30 10:52:30.863, 3, 0, 4, 183359, 197.17
2026/06/30 10:52:30.863, 4, 0, 4, 183359, 188.92
2026/06/30 10:52:30.863, 5, 0, 4, 183359, 190.78
2026/06/30 10:52:30.863, 6, 0, 4, 183359, 191.60
2026/06/30 10:52:30.863, 7, 0, 4, 183359, 188.28
2026/06/30 10:52:35.863, 0, 0, 4, 183359, 189.96
2026/06/30 10:52:35.863, 1, 0, 4, 183359, 190.55
2026/06/30 10:52:35.863, 2, 0, 4, 183359, 192.63
2026/06/30 10:52:35.863, 3, 0, 4, 183359, 197.15
2026/06/30 10:52:35.863, 4, 0, 4, 183359, 189.00
2026/06/30 10:52:35.863, 5, 0, 4, 183359, 190.85
2026/06/30 10:52:35.863, 6, 0, 4, 183359, 191.56
2026/06/30 10:52:35.863, 7, 0, 4, 183359, 188.21
2026/06/30 10:52:40.864, 0, 0, 4, 183359, 190.08
2026/06/30 10:52:40.864, 1, 0, 4, 183359, 189.18
2026/06/30 10:52:40.864, 2, 0, 4, 183359, 192.78
2026/06/30 10:52:40.864, 3, 0, 4, 183359, 197.30
2026/06/30 10:52:40.864, 4, 0, 4, 183359, 189.02
2026/06/30 10:52:40.864, 5, 0, 4, 183359, 190.93
2026/06/30 10:52:40.864, 6, 0, 4, 183359, 191.62
2026/06/30 10:52:40.865, 7, 0, 4, 183359, 188.22
2026/06/30 10:52:45.865, 0, 0, 4, 183359, 189.87
2026/06/30 10:52:45.865, 1, 0, 4, 183359, 190.57
