timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/06/30 08:12:40.627, 0, 0, 0, 183359, 236.03
2026/06/30 08:12:40.629, 1, 0, 0, 183359, 243.01
2026/06/30 08:12:40.631, 2, 0, 0, 183359, 234.09
2026/06/30 08:12:40.632, 3, 0, 0, 183359, 241.55
2026/06/30 08:12:40.634, 4, 0, 0, 183359, 236.79
2026/06/30 08:12:40.635, 5, 0, 0, 183359, 243.27
2026/06/30 08:12:40.637, 6, 0, 0, 183359, 242.89
2026/06/30 08:12:40.638, 7, 0, 0, 183359, 237.05
2026/06/30 08:12:45.640, 0, 0, 0, 183359, 236.00
2026/06/30 08:12:45.640, 1, 0, 0, 183359, 243.05
2026/06/30 08:12:45.640, 2, 0, 0, 183359, 234.03
2026/06/30 08:12:45.640, 3, 0, 0, 183359, 241.43
2026/06/30 08:12:45.640, 4, 0, 0, 183359, 236.83
2026/06/30 08:12:45.640, 5, 0, 0, 183359, 243.08
2026/06/30 08:12:45.640, 6, 0, 0, 183359, 242.90
2026/06/30 08:12:45.640, 7, 0, 0, 183359, 237.11
2026/06/30 08:12:50.640, 0, 0, 0, 183359, 236.08
2026/06/30 08:12:50.640, 1, 0, 0, 183359, 243.18
2026/06/30 08:12:50.640, 2, 0, 0, 183359, 234.13
2026/06/30 08:12:50.640, 3, 0, 0, 183359, 241.47
2026/06/30 08:12:50.640, 4, 0, 0, 183359, 236.90
2026/06/30 08:12:50.640, 5, 0, 0, 183359, 243.16
2026/06/30 08:12:50.641, 6, 0, 0, 183359, 242.88
2026/06/30 08:12:50.641, 7, 0, 0, 183359, 237.15
2026/06/30 08:12:55.641, 0, 0, 4, 183359, 236.24
2026/06/30 08:12:55.641, 1, 0, 4, 183359, 243.37
2026/06/30 08:12:55.641, 2, 0, 4, 183359, 234.22
2026/06/30 08:12:55.641, 3, 0, 4, 183359, 241.45
2026/06/30 08:12:55.641, 4, 0, 4, 183359, 236.97
2026/06/30 08:12:55.641, 5, 0, 4, 183359, 243.43
2026/06/30 08:12:55.641, 6, 0, 4, 183359, 242.96
2026/06/30 08:12:55.641, 7, 0, 4, 183359, 237.21
2026/06/30 08:13:00.641, 0, 0, 4, 183359, 236.23
2026/06/30 08:13:00.641, 1, 0, 4, 183359, 243.23
2026/06/30 08:13:00.642, 2, 0, 4, 183359, 234.16
2026/06/30 08:13:00.642, 3, 0, 4, 183359, 241.49
2026/06/30 08:13:00.642, 4, 0, 4, 183359, 237.01
2026/06/30 08:13:00.642, 5, 0, 4, 183359, 243.37
2026/06/30 08:13:00.642, 6, 0, 4, 183359, 242.93
2026/06/30 08:13:00.642, 7, 0, 4, 183359, 237.28
2026/06/30 08:13:05.642, 0, 0, 4, 183359, 236.16
2026/06/30 08:13:05.642, 1, 0, 4, 183359, 243.37
2026/06/30 08:13:05.642, 2, 0, 4, 183359, 234.37
2026/06/30 08:13:05.642, 3, 0, 4, 183359, 241.58
2026/06/30 08:13:05.642, 4, 0, 4, 183359, 236.99
2026/06/30 08:13:05.642, 5, 0, 4, 183359, 243.38
2026/06/30 08:13:05.643, 6, 0, 4, 183359, 243.07
2026/06/30 08:13:05.643, 7, 0, 4, 183359, 237.23
2026/06/30 08:13:10.643, 0, 0, 4, 183359, 236.17
2026/06/30 08:13:10.643, 1, 0, 4, 183359, 243.35
2026/06/30 08:13:10.643, 2, 0, 4, 183359, 234.36
2026/06/30 08:13:10.643, 3, 0, 4, 183359, 241.55
2026/06/30 08:13:10.643, 4, 0, 4, 183359, 236.97
2026/06/30 08:13:10.643, 5, 0, 4, 183359, 243.50
2026/06/30 08:13:10.643, 6, 0, 4, 183359, 243.01
2026/06/30 08:13:10.643, 7, 0, 4, 183359, 237.22
2026/06/30 08:13:15.644, 0, 0, 4, 183359, 236.18
2026/06/30 08:13:15.644, 1, 0, 4, 183359, 243.40
2026/06/30 08:13:15.644, 2, 0, 4, 183359, 234.27
2026/06/30 08:13:15.644, 3, 0, 4, 183359, 241.53
2026/06/30 08:13:15.644, 4, 0, 4, 183359, 236.88
2026/06/30 08:13:15.644, 5, 0, 4, 183359, 243.39
2026/06/30 08:13:15.644, 6, 0, 4, 183359, 242.90
2026/06/30 08:13:15.644, 7, 0, 4, 183359, 237.31
2026/06/30 08:13:20.644, 0, 0, 4, 183359, 236.21
2026/06/30 08:13:20.644, 1, 0, 4, 183359, 243.29
2026/06/30 08:13:20.644, 2, 0, 4, 183359, 234.36
2026/06/30 08:13:20.644, 3, 0, 4, 183359, 241.52
2026/06/30 08:13:20.645, 4, 0, 4, 183359, 236.97
2026/06/30 08:13:20.645, 5, 0, 4, 183359, 243.45
2026/06/30 08:13:20.645, 6, 0, 4, 183359, 243.09
2026/06/30 08:13:20.645, 7, 0, 4, 183359, 237.29
2026/06/30 08:13:25.645, 0, 0, 4, 183359, 236.17
2026/06/30 08:13:25.645, 1, 0, 4, 183359, 243.37
2026/06/30 08:13:25.645, 2, 0, 4, 183359, 234.30
2026/06/30 08:13:25.645, 3, 0, 4, 183359, 241.54
2026/06/30 08:13:25.645, 4, 0, 4, 183359, 236.96
2026/06/30 08:13:25.645, 5, 0, 4, 183359, 243.37
2026/06/30 08:13:25.645, 6, 0, 4, 183359, 242.99
2026/06/30 08:13:25.645, 7, 0, 4, 183359, 237.23
2026/06/30 08:13:30.645, 0, 0, 4, 183359, 236.15
2026/06/30 08:13:30.646, 1, 0, 4, 183359, 243.38
2026/06/30 08:13:30.646, 2, 0, 4, 183359, 234.40
2026/06/30 08:13:30.646, 3, 0, 4, 183359, 241.54
2026/06/30 08:13:30.646, 4, 0, 4, 183359, 237.01
2026/06/30 08:13:30.646, 5, 0, 4, 183359, 243.49
2026/06/30 08:13:30.646, 6, 0, 4, 183359, 243.18
2026/06/30 08:13:30.646, 7, 0, 4, 183359, 237.22
2026/06/30 08:13:35.646, 0, 0, 4, 183359, 236.21
2026/06/30 08:13:35.646, 1, 0, 4, 183359, 243.31
2026/06/30 08:13:35.646, 2, 0, 4, 183359, 234.27
2026/06/30 08:13:35.646, 3, 0, 4, 183359, 241.58
2026/06/30 08:13:35.646, 4, 0, 4, 183359, 237.05
2026/06/30 08:13:35.646, 5, 0, 4, 183359, 243.53
2026/06/30 08:13:35.646, 6, 0, 4, 183359, 243.08
2026/06/30 08:13:35.646, 7, 0, 4, 183359, 237.29
2026/06/30 08:13:40.646, 0, 0, 4, 183359, 236.23
2026/06/30 08:13:40.647, 1, 0, 4, 183359, 243.29
2026/06/30 08:13:40.647, 2, 0, 4, 183359, 234.38
2026/06/30 08:13:40.647, 3, 0, 4, 183359, 241.55
2026/06/30 08:13:40.647, 4, 0, 4, 183359, 237.09
2026/06/30 08:13:40.647, 5, 0, 4, 183359, 243.55
2026/06/30 08:13:40.647, 6, 0, 4, 183359, 243.19
2026/06/30 08:13:40.647, 7, 0, 4, 183359, 237.34
2026/06/30 08:13:45.647, 0, 0, 4, 183359, 236.20
2026/06/30 08:13:45.647, 1, 0, 4, 183359, 243.34
2026/06/30 08:13:45.647, 2, 0, 4, 183359, 234.39
2026/06/30 08:13:45.647, 3, 0, 4, 183359, 241.49
2026/06/30 08:13:45.647, 4, 0, 4, 183359, 237.10
2026/06/30 08:13:45.647, 5, 0, 4, 183359, 243.51
2026/06/30 08:13:45.647, 6, 0, 4, 183359, 243.06
2026/06/30 08:13:45.647, 7, 0, 4, 183359, 237.28
2026/06/30 08:13:50.648, 0, 0, 4, 183359, 236.33
2026/06/30 08:13:50.648, 1, 0, 4, 183359, 243.30
2026/06/30 08:13:50.648, 2, 0, 4, 183359, 234.27
2026/06/30 08:13:50.648, 3, 0, 4, 183359, 241.58
2026/06/30 08:13:50.648, 4, 0, 4, 183359, 237.00
2026/06/30 08:13:50.648, 5, 0, 4, 183359, 243.39
2026/06/30 08:13:50.648, 6, 0, 4, 183359, 243.03
2026/06/30 08:13:50.648, 7, 0, 4, 183359, 237.29
2026/06/30 08:13:55.648, 0, 0, 4, 183359, 236.21
2026/06/30 08:13:55.648, 1, 0, 4, 183359, 243.38
2026/06/30 08:13:55.648, 2, 0, 4, 183359, 234.43
2026/06/30 08:13:55.648, 3, 0, 4, 183359, 241.50
2026/06/30 08:13:55.648, 4, 0, 4, 183359, 237.18
2026/06/30 08:13:55.648, 5, 0, 4, 183359, 243.53
2026/06/30 08:13:55.648, 6, 0, 4, 183359, 243.10
2026/06/30 08:13:55.648, 7, 0, 4, 183359, 237.27
2026/06/30 08:14:00.649, 0, 0, 4, 183359, 236.30
2026/06/30 08:14:00.649, 1, 0, 4, 183359, 243.19
2026/06/30 08:14:00.649, 2, 0, 4, 183359, 234.36
2026/06/30 08:14:00.649, 3, 0, 4, 183359, 241.54
2026/06/30 08:14:00.649, 4, 0, 4, 183359, 237.10
2026/06/30 08:14:00.649, 5, 0, 4, 183359, 243.36
2026/06/30 08:14:00.649, 6, 0, 4, 183359, 242.98
2026/06/30 08:14:00.649, 7, 0, 4, 183359, 237.36
2026/06/30 08:14:05.649, 0, 0, 4, 183359, 236.30
2026/06/30 08:14:05.649, 1, 0, 4, 183359, 243.39
2026/06/30 08:14:05.649, 2, 0, 4, 183359, 234.46
2026/06/30 08:14:05.649, 3, 0, 4, 183359, 241.57
2026/06/30 08:14:05.649, 4, 0, 4, 183359, 237.20
2026/06/30 08:14:05.649, 5, 0, 4, 183359, 243.56
2026/06/30 08:14:05.649, 6, 0, 4, 183359, 243.16
2026/06/30 08:14:05.649, 7, 0, 4, 183359, 237.23
